,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
8185,20260310  14:21:00,24155.0,24184.0,24155.0,24184.0,-1,24158.67644823011,24086.365253329277,24342.859139079406,23829.871367579148,48.49861969320074,-0.004036345435153048,0.0009031384232386884,-12.5,-12.483829236739973,,,8183.0,8184.0,1.0,24179.0,24144.0,-31.818181818181817,-28.977272727272727,UP,,,,,8078.0,7997.0,1,24377.0,23749.0,23981.0,24377.0,628.0,,,23686.2,24377.0,497.7999999999993,193.0,2.058385709560037,0.7980482963943103,True,False,LONG,24.0,156.0
8205,20260310  15:21:00,24088.0,24114.0,24084.0,24111.0,-1,24066.589525040108,24087.69572685725,24272.705663184726,23902.685790529777,37.55034822604776,-0.014445274761522459,0.003650910881780595,-47.549019607843135,-17.205692108667527,,,8199.0,8201.0,1.0,24088.0,24004.0,-75.28089887640449,-99.50980392156863,UP,,,,,8078.0,8201.0,-1,24377.0,24004.0,23981.0,24114.0,373.0,,,23941.4,24414.3,169.59999999999854,303.2999999999993,0.7034133797851543,1.2579320642030578,True,False,LONG,233.0,27.0
8474,20260311  07:57:00,24083.0,24224.0,24082.0,24127.0,-1,24107.116967770507,24156.43118003512,24267.649484597267,24045.212875472975,4.450083358733923,-0.06626373898799508,0.022830697008538306,-48.98989898989899,-20.610057708161584,,24082.0,8472.0,8474.0,1.0,24083.0,24082.0,-67.97752808988764,-48.98989898989899,UP,,,,,8410.0,8311.0,1,24361.0,23903.0,24026.0,24361.0,458.0,,,23857.2,24361.0,269.7999999999993,234.0,1.1182492643096915,0.9698677829817217,True,False,LONG,118.0,94.0
8545,20260311  11:30:00,23880.0,23916.0,23879.0,23915.0,-1,23878.542063221248,23997.784162550564,24301.628988053948,23693.93933704718,-43.91315377377143,-0.0001453426480601454,-0.0015435865264500528,-29.901960784313726,-44.94163424124513,,23879.0,8543.0,8545.0,1.0,23888.0,23879.0,-47.05882352941177,-29.901960784313726,UP,,,,,8410.0,8519.0,-1,24361.0,23772.0,23772.0,23976.0,589.0,,,23713.1,24419.9,201.90000000000146,504.90000000000146,0.8442400167259103,2.111227263223924,True,False,LONG,133.0,71.0
8603,20260311  14:24:00,23855.0,23889.0,23853.0,23888.0,-1,23849.890834441005,23939.3059929293,24171.51138068605,23707.100605172553,-39.361139149383206,-0.002280542297809048,-0.0023677625863203285,-41.11675126903553,-49.69512195121951,,,8597.0,8600.0,1.0,23878.0,23822.0,-61.38211382113821,-68.75,UP,,,,,8555.0,8590.0,-1,24048.0,23772.0,23772.0,23889.0,276.0,,,23744.4,24075.6,143.59999999999854,187.59999999999854,0.6011386470194179,0.7853315472203556,True,False,LONG,249.0,76.0
8726,20260311  20:33:00,23902.0,23926.0,23902.0,23919.0,-1,23902.558876308995,23900.99443294717,23982.235287288324,23819.753578606014,-14.1616952257121,-0.01526164801566955,-0.0029971052538772854,-6.862745098039215,-72.92993630573248,,,8723.0,8725.0,1.0,23911.0,23890.0,-29.357798165137616,-23.529411764705884,UP,,,,,8615.0,8658.0,-1,24137.0,23792.0,23792.0,23933.0,345.0,,,23757.5,24171.5,161.5,252.5,0.6751954513148543,1.055646139052636,True,False,LONG,25.0,27.0
8852,20260312  06:00:00,23532.0,23548.0,23531.0,23548.0,-1,23539.114182164714,23668.70363648061,23979.295970863957,23358.111302097266,-56.28870674727562,-0.0001966630488030774,-0.0007193989581557213,-42.21105527638191,-87.8177966101695,,23531.0,8850.0,8852.0,1.0,23534.0,23531.0,-49.74874371859296,-42.21105527638191,UP,,,,,8733.0,8822.0,-1,23944.0,23433.0,23433.0,23632.0,511.0,,,23381.9,23995.1,166.09999999999854,447.09999999999854,0.7053677594700125,1.8986750467130904,True,False,LONG,386.0,17.0
9069,20260312  16:51:00,23750.0,23782.0,23741.0,23770.0,-1,23725.92418142185,23743.265577975944,23881.831362664434,23604.699793287455,-1.8207286917137193,-0.03980676042203812,-0.036983328144389864,-13.875598086124402,-63.685344827586206,,,9066.0,9067.0,1.0,23767.0,23716.0,-24.074074074074073,-36.574074074074076,UP,,,,,8986.0,9056.0,-1,23934.0,23590.0,23590.0,23782.0,344.0,,,23555.6,23968.4,214.40000000000146,198.40000000000146,0.9019772822886052,0.8346655448043814,True,False,LONG,96.0,54.0
9179,20260313  01:30:00,23812.0,23824.0,23811.0,23823.0,-1,23784.59668159852,23773.13612909786,23888.94900997358,23657.32324822214,2.227662996675632,0.11110113659473002,0.004152790411657545,-0.5780346820809249,-57.974137931034484,,23811.0,9175.0,9179.0,1.0,23816.0,23811.0,-7.647058823529412,-0.5780346820809249,UP,,,,,9105.0,9169.0,-1,23866.0,23651.0,23651.0,23824.0,215.0,,,23629.5,23887.5,193.5,64.5,0.8122402720060447,0.2707467573353482,True,False,LONG,69.0,14.0
9246,20260313  04:51:00,23847.0,23855.0,23847.0,23852.0,-1,23842.81869712928,23816.564456466578,23905.21622669015,23727.912686243006,12.179839453626116,0.0013953631271038656,0.0012201457254337193,-45.45454545454545,-48.399014778325125,,,9240.0,9245.0,1.0,23839.0,23841.0,-71.21212121212122,-53.03030303030303,UP,,,,,9196.0,9169.0,1,23892.0,23651.0,23816.0,23892.0,241.0,,,23626.9,23892.0,225.09999999999854,40.0,0.9437363743082281,0.1677008217340265,True,False,LONG,14.0,33.0
